,ID,Name,Type,Price,Serving size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Sugar,Protein,Total Carbs Nutrition Point,Total Fat Nutrition Point,Protein Nutrition Point,Sugar Nutrition Point,Sodium Nutrition Point,Trans Fat Nutrition Point,Saturated Fat Nutrition Point,Cholesterol Nutrition Point,Dietary Fiber Nutrition Point,Nutrition Value,Coefficient,1st Day Variable Name,2nd Day Variable Name,3rd Day Variable Name
0,PV_M_1,Alumni_Burger,Main,6.217499999999999,1 portion,590,32.0,8.0,0.5,85,1010,52,7,5,25,0.005750501474806326,0.9991599341372548,0.7292853499299607,0.9514563106796117,0.597609561752988,0.96875,0.7777777777777778,0.9395017793594306,0.7333333333333334,6.702624548445164,1.0780256611894112,x_1_3_1_1,x_1_3_1_2,x_1_3_1_3
1,PV_M_2,Classic_Grilled_Cheese,Main,5.9925,1 portion,570,55.0,33.0,1.5,145,380,7,1,0,13,1.4008544095418484e-06,0.5475765312715717,0.5926321045810629,1.0,0.848605577689243,0.90625,0.08333333333333337,0.896797153024911,0.10476190476190476,4.979958005516436,0.8310317906577283,x_1_3_2_1,x_1_3_2_2,x_1_3_2_3
2,PV_M_3,Lumberjack_Burger,Main,8.9925,1 portion,840,52.0,18.0,1.5,110,1880,58,6,12,35,0.012966992160795708,0.6374366248343476,0.8330981166551059,0.883495145631068,0.250996015936255,0.90625,0.5,0.9217081850533808,0.6285714285714286,5.574522508842381,0.6199079798545878,x_1_3_3_1,x_1_3_3_2,x_1_3_3_3
3,PV_M_4,Cajun_Chicken_Burger,Main,9.7425,1 portion,500,9.0,1.0,0.0,120,920,56,4,14,46,0.009965319984789719,0.4987700835018958,0.9249430710203271,0.8640776699029127,0.6334661354581673,1.0,0.9722222222222222,0.9145907473309609,0.41904761904761906,6.237082868468896,0.6401932633788961,x_1_3_4_1,x_1_3_4_2,x_1_3_4_3
4,PV_M_5,Beyond_Crunch_Burger,Main,8.2425,1 portion,700,37.0,11.0,0.0,25,1080,60,9,9,35,0.01674264511146182,0.9789046427368934,0.8330981166551059,0.912621359223301,0.5697211155378485,1.0,0.6944444444444444,0.9822064056939501,0.9428571428571428,6.930595872260148,0.8408366238714162,x_1_3_5_1,x_1_3_5_2,x_1_3_5_3
5,PV_M_6,Ultimate_Veggie_Burger,Main,7.4925,1 portion,640,28.0,8.0,0.0,15,570,80,15,14,21,0.14083078510215463,0.9718435746371524,0.6845035072782051,0.8640776699029127,0.7729083665338645,1.0,0.7777777777777778,0.9893238434163701,1.0,7.201265524648438,0.9611298664862781,x_1_3_6_1,x_1_3_6_2,x_1_3_6_3
6,PV_M_7,Mediterranean_Bowl,Main,5.9925,1 portion,740,49.0,8.0,0.0,30,1470,64,11,9,17,0.027271196283657023,0.7258586036663693,0.6387607755251834,0.912621359223301,0.4143426294820717,1.0,0.7777777777777778,0.9786476868327402,1.0,6.475280028791101,1.0805640431858325,x_1_3_7_1,x_1_3_7_2,x_1_3_7_3
7,PV_M_8,Thai_Coconut_Bowl,Main,5.9925,1 portion,690,26.0,10.0,0.0,0,410,95,12,11,17,0.4184506927601738,0.9444789125017473,0.6387607755251834,0.8932038834951457,0.8366533864541833,1.0,0.7222222222222222,1.0,1.0,7.453769872958656,1.2438497910652744,x_1_3_8_1,x_1_3_8_2,x_1_3_8_3
8,PV_M_9,Avocado_Spinach_Pasta,Main,6.7425,1 portion,1000,32.0,6.0,0.0,10,370,150,24,7,30,0.5460764935539401,0.9991599341372548,0.7830007071370287,0.9320388349514563,0.852589641434263,1.0,0.8333333333333334,0.9928825622775801,1.0,7.939081506824857,1.177468521590635,x_1_3_9_1,x_1_3_9_2,x_1_3_9_3
9,PV_M_10,Gather_Bowl,Main,6.7425,1 portion,960,52.0,6.0,0.0,0,440,106,17,13,23,0.7050798536708649,0.6374366248343476,0.7070514819885939,0.8737864077669903,0.8247011952191234,1.0,0.8333333333333334,1.0,1.0,7.581388896813254,1.1244180788747875,x_1_3_10_1,x_1_3_10_2,x_1_3_10_3
